jardescription,jvmdescription,memory,cpus_load,cpus_service,concurrency,lat_avg,lat_stdev,lat_max,req_avg,req_stdev,req_max,tot_requests,tot_duration,read,err_connect,err_read,err_write,err_timeout,req_sec_tot,read_tot,user_cpu,kern_cpu,mem_kb_uss,mem_kb_pss,mem_kb_rss,duration
sb_jdbc_17,17-loom,100Mb,4,2,100,19.44,24.98,356.31,1940.0,673.29,2910.0,464104.0,60000.0,78989230.08,0,0,0,0,7728.26,1310720.0,8849,2710,335512,335542,338528,60
sb_jdbc_17,17-loom,100Mb,4,4,5,0.42213999999999996,1.12,46.11,2820.0,589.91,3480.0,673453.0,60000.0,114619842.56,0,0,0,0,11205.57,1908408.32,10558,4386,356904,356931,360004,60
sb_jdbc_17,17-loom,100Mb,4,4,100,9.61,9.5,258.35,3140.0,714.63,4090.0,750130.0,60000.0,127664128.0,0,0,0,0,12493.96,2128609.28,14671,5603,389552,389581,392632,60
sb_jdbc_17,17,2Gb,1,1,1,0.48557,1.76,47.53,3240.0,960.0,4380.0,193329.0,60000.0,32904314.88,0,0,0,0,3221.97,548352.0,3657,1111,806816,806842,809836,60
sb_jdbc_17,17,2Gb,1,1,5,2.01,2.36,58.9,3150.0,807.64,4480.0,188077.0,60000.0,32013025.28,0,0,0,0,3134.43,533452.8,4937,1063,802012,802048,805044,60
sb_jdbc_17,17,2Gb,1,1,100,103.37,102.73,949.11,1200.0,310.25,1920.0,71747.0,60000.0,12205424.64,0,0,0,0,1195.02,203366.4,5557,446,807520,807544,810572,60
sb_jdbc_17,17,2Gb,1,2,1,0.30713999999999997,0.66711,25.91,3820.0,829.17,4900.0,228356.0,60000.0,38860226.56,0,0,0,0,3805.92,647731.2,3554,1250,1581608,1581640,1584704,60
sb_jdbc_17,17,2Gb,1,2,5,0.88,1.3,33.3,7750.0,2410.0,10760.0,462545.0,60000.0,78716600.32,0,0,0,0,7708.95,1310720.0,8536,3056,1587900,1587927,1590952,60
sb_jdbc_17,17,2Gb,1,2,100,19.9,28.0,486.92,8610.0,3050.0,11830.0,514343.0,60000.0,87535124.48,0,0,0,0,8567.94,1457520.64,8567,2954,1613688,1613794,1616772,60
sb_jdbc_17,17,2Gb,1,4,1,0.27187,0.39338999999999996,21.44,3960.0,784.78,4980.0,236556.0,60000.0,40254832.64,0,0,0,0,3936.08,669880.32,4045,1347,1638776,1638803,1641880,60
sb_jdbc_17,17,2Gb,1,4,5,0.47131,0.81702,29.2,12960.0,2900.0,14800.0,773982.0,60000.0,131722117.12,0,0,0,0,12893.02,2191523.84,11667,5079,1624856,1624886,1627888,60
sb_jdbc_17,17,2Gb,1,4,100,9.13,9.19,298.8,13170.0,2670.0,15080.0,786265.0,60000.0,133808783.36,0,0,0,0,13098.27,2233466.88,14062,5792,1663060,1663090,1666092,60
sb_jdbc_17,17,2Gb,2,1,5,1.68,2.0,49.46,1470.0,376.34,2370.0,175060.0,60000.0,29790044.16,0,0,0,0,2917.12,496465.92,4972,1028,800780,800803,803788,60
sb_jdbc_17,17,2Gb,2,1,100,105.47,106.28,941.69,587.28,181.56,1480.0,70170.0,60000.0,11943280.64,0,0,0,0,1168.47,198850.56,5559,446,822500,822524,825552,60
sb_jdbc_17,17,2Gb,2,2,5,0.65787,1.19,47.53,3920.0,1110.0,6420.0,468192.0,60000.0,79681290.24,0,0,0,0,7790.26,1321205.76,7991,3119,1591172,1591198,1594172,60
sb_jdbc_17,17,2Gb,2,2,100,19.22,25.88,335.37,4310.0,1550.0,6070.0,515116.0,60000.0,87671439.36,0,0,0,0,8581.06,1457520.64,8626,2941,1615208,1615235,1618360,60
